发布时间,转发数,评论数,收藏数,点赞数,动态内容
2020-04-23 16:37:34,8,32,7,42,最近一直在做各项基金奖的回测，为什么我们众多基金奖的效果不如一个美国的晨星奖？有面子工程，有平衡各方利益，但最终影响的还是我们的含金量和口碑，中美之间的差距，不仅仅在硬件上，还在软件建设上。
2020-04-23 15:16:38,2,4,1,13,今天只有日用化工、石油等少数板块上涨。电信运营、通信设备、半导体等领跌。石油超跌反弹，使得今天上证指数难得在宽基指数里跌幅是最小的。另外中证消费、中证食品、中证生物医药等逆市再创历史新高。这就是我说的在疫情下的双品行情：食品、药品。
2020-04-22 15:52:56,1,8,1,12,今天日用化工，农林牧渔、酿酒、食品饮料等板块领涨，茅台受年报利好创出历史新高，带动了酿酒食品的上涨。下跌的板块只有石油、银行、钢铁三大傻：
2020-04-22 13:20:37,1,5,0,26,$贵州茅台(SH600519)$ 哈哈，历史新高了。
2020-04-22 11:23:45,3,41,1,55,嘉定400米紫藤长廊，春天到了。
2020-04-21 15:45:18,1,4,1,12,大概是昨天的300预演了一次，今天果然大跌了，板块上只有电信运营、IT设备等少数板块上涨，半导体、煤炭、酿酒等领跌。
2020-04-21 09:04:16,5,23,18,52,推荐大家去看看东方卫视正在热播的《猎狐》，里面有大股东如何勾结柚子割韭菜，如何借用白手套一箭双雕。
2020-04-20 15:29:33,2,2,1,16,今天IT设备、家居用品、建材、医疗保健等领涨，下跌板块只有造纸、电力、酒店餐饮、银行等少数板块。今天跨市场的中证指数如沪深300等早上还摆了一个乌龙，似乎也是历史上第一次：
2020-04-20 12:52:39,19,64,10,64,请大家听一段专家解释今天沪深300大跌的原因，从9：47开始听起网页链接笑死人了，还黄白线，主持人在提醒他300的BUG，他还不听
2020-04-20 09:33:06,33,123,2,22,$沪深300(SH000300)$ 300和中证1000是不是今天变了什么了？
2020-04-17 16:02:18,1,9,3,25,一天一个样，今天是酒店、保险、旅游等领涨，前期强势的医药领跌。板块上50大涨1.47%，中证500只有微涨了0.03%，创业板也直涨了0.62%，但今天所有A股的算术平均和中位数都是下跌的，也就是典型的直涨指数不涨个股。没有风格就是最大的风格。
2020-04-17 05:46:35,2,17,2,38,$纳斯达克100指数(.NDX)$ 纳指100今年已经翻红了。
2020-04-16 15:34:14,14,31,2,14,今天在外围不利的情况下最终拉红，主要指数里银行还是弱。最近几天创业板又强于50了。今天50几乎没什么涨，主要是银行拖累的：
2020-04-16 13:23:42,1,4,0,56,外面阳光明媚，摘掉口罩，疫情后第一次来星巴克，楼下小区的北门也开了，再小的东西，失而复得的感受真好。
2020-04-15 16:07:58,9,49,6,17,柚子又回来了，8只余额小于1亿的可转债，对应的正股和大盘一样平均下跌了0.63%，但这8只可转债今天平均竟然大涨了9.31%，其中涨幅最大的凯龙转债上涨了29.10%，而正股仅仅微涨了0.85%，不仅如此，凯龙转债今天一天的换手率高达3140%。8只微型债今天平均的换手率高达1504%，也就是说平均今天一天操作了15次。
2020-04-15 15:31:29,1,1,2,13,今天只有半导体、医药、酿酒等少数板块上涨，旅游、工程机械、建材、家电等领跌。半导体板块不是领涨就是领跌，前几天连续大跌了3天，最近又是连续领涨了2天。不管你统计什么规律，当这个规律越来越有效，用的人多了，就会走向反面——失效，因为这个系统具有反身性：
2020-04-15 09:51:52,2,7,1,23,$贵州茅台(SH600519)$ 茅台还是茅台，又回到1200了。
2020-04-15 07:35:45,5,17,2,22,$纳斯达克100指数(.NDX)$&nbsp;纳斯达克100指数是众多QDII跟踪的指数，昨天大涨4.31%，今年仅仅跌了0.47%了。
2020-04-14 21:49:41,2,4,1,26,$亚马逊(AMZN)$ 亚马逊盘中创出历史新高
2020-04-14 15:34:19,5,9,2,26,昨天缩量的厉害，说明跌不下去了。今天如期反弹，互联网、电气设备、半导体等领涨，最弱的船舶板块也涨了0.29%，茅台今天涨了1.96%后创了今年的新高，今年涨幅也第一次由负转正。疫情之下食品、药品还是主线，今天中证生物医药指数大涨了3.44%也创了新高，该指数今年大涨了22.67%。另外今天可转债涨幅中位数0.48%，而对应的正股涨幅中位数高达1.53%，大涨时可转债严重跟不上正股。
2020-04-14 05:26:12,6,25,0,18,$亚马逊(AMZN)$ 亚马逊离开历史新高只有一步之遥了。
2020-04-13 15:30:20,2,13,2,17,今天只有工程机械、家电、建材、医药等少数板块上涨，农林牧渔、半导体等大多数板块领跌。今天可转债跌幅中位数高达1.20%，对应的正股下跌中位数1.09%，可转债弱势趋势继续：
2020-04-13 05:42:05,1,9,1,43,二级市场的可转债虽然在退潮，但打新在破发前依然热情不减，今天上市交易的3只可转债，我7个账户只有1个。但今天申购的2只可转债，依然满格申购。
2020-04-10 17:44:49,1,4,0,9,【ETF王者争霸赛】报名进入倒计时3天！还没上车的球友，请点击报名参赛：网页链接，雪球会统一打赏6元，绝对够买一桶泡面+一个鸡蛋，给您忙碌的加班日子，带来新能量！
2020-04-10 15:48:35,9,23,13,67,今天只有家电、保险、酿酒等绩优板块是红的，昨天跌幅最大的半导体板块今天继续大跌5.12%，今天还有一件事情，中证食品饮料盘中创出了历史新高。市场是最无情的判官，不管你今天炒作这个概念明天操作那个概念，最终长期的涨幅还是要看业绩。一个牛熊周期下来，真正上涨的还是食品、医药等绩优板块，就像我在前几天在雪球直播中说说的那样，28个申万一级行业，从1000点起步，到今天指数点位过万的只有食品饮料：
2020-04-10 11:44:09,5,19,2,20,$CS食品饮(CSI930653)$ 今天中证食品创出历史新高了，还是嘴最重要，疫情来了其他都可以放一放。
2020-04-10 10:23:56,5,12,1,53,$格力电器(SZ000651)$ 我的重仓今年憋屈了那么久，今天总算雄起了一把
2020-04-10 05:56:34,13,53,28,40,11海航02（122071）还有1.12年到期，税后年化收益率接近14%。如果能持有到期，10万以下还是很安全的。
2020-04-09 15:33:01,6,7,4,61,这几天可转债开始走弱，正股涨可转债微涨，正股跌可转债微跌。其实这才是可转债的常态，今年第一季度可转债因为游资的操作而使得正股有一点点上涨可转债就暴涨，甚至出现正股大跌可转债大涨的异常现象。走弱反而利好我们长期持有，这是一个有耐心的赚没耐心的钱的板块。
2020-04-09 15:19:39,3,4,2,15,今天又是创业板跑赢了50，但领跌的是半导体，领涨的是医药：
2020-04-09 06:49:27,1,16,0,56,今天是可转债的大日子，三只可转债上市交易，三只可转债申购打新。
2020-04-08 15:24:52,3,17,1,24,今天是酒店餐饮等前期受疫情影响的板块领涨，而前期强势的农林牧渔等反而领跌。昨天流入126.74亿的北上资金，今天突然改变方向留出16.87亿。当然我们不能把北上资金看成一个机构，忽冷忽热说明其中看多看空的差异也是很大的：
2020-04-07 16:24:32,12,27,6,27,今天工程机械、建材、农林牧渔、软件服务等领涨，食品饮料（880372）大涨3.95%继续创历史新高，这个板块指数今年已经涨了16.18%了，和我今天3点在雪球上的大消费直播很应景，垫底的还是银行。
2020-04-07 07:43:13,24,35,20,65,第一只可转债ETF博时可转债ETF（511380）今天上市，但我一点都不看好，看看持仓前五： 浦发转债    9.90% 、中信转债    8.09% 、光大转债    6.56%、 苏银转债    4.19% 、G三峡EB1    4.08% 就知道了，这个跟踪的指数基本上银行可转债占了大半，完全是按照市值设计的。
2020-04-07 06:52:36,13,59,4,68,美股经过昨晚的大涨，跌幅最大的指数道指下跌了20.53%，但纳指100仅仅下跌了7.46%，其中最大的成分股微软今年还上涨了5.09%，亚马逊上涨了8.10%：
2020-04-07 06:12:34,2,17,1,51,美股大涨，昨天港股也涨了。今天A股高开无疑，就是别再高开低走了。
2020-04-05 08:11:47,33,82,5,56,有人说中国股市波动大适合择时，但实际上你看到过大部分人择时会成功吗？大部分择时都是失败了。原因是如果大部分人都做择时成功，那么对手盘难到从天上掉下来的？我们大部分人的行为已经改变了原来股市运行的规律，所以指望大部分人择时成功，就好比抓着自己的头发想脱离地球那样。当然我也不是说不能择时，择时前想想我是一定比大部分人优秀聪明吗？
2020-04-04 13:18:20,3,4,1,36,花开叶落，天道有常，股市亦是如此，没有只涨不跌的，也没有只跌不涨的。
2020-04-03 15:20:34,5,7,1,19,今天和昨天正好相反，昨天跌幅最大的农林牧渔领涨，食品、医疗等少数防御性板块上涨，而昨天表现不错的通信、半导体等领跌，板块的延续性极差，只有耐心等待机会，多看少动：
2020-04-02 17:35:53,3,10,4,52,游资猛炒了一段时间小盘可转债后，今天大撤退了，10个1亿以下余额的可转债，今天正股无一下跌，平均涨幅高达3.45%，但这10只可转债除了广电涨了1.41%外，其他均出现暴跌，平均跌幅竟然高达9.15%，日平均换手率依然高达593%，这充分说明了游资且战且退。将来会不会狼烟再起不好说，但你不贪心，不追高，就不会被游资收割，可怜之人必有可恨之处。
2020-04-02 15:26:46,4,8,1,36,今天触底反弹，板块中唯一下跌的是前期强势的农林牧渔，而领涨的确是前期调整最大的半导体。规律真的很难捕捉，还不如可转债轮动确定性强：
2020-04-02 06:03:59,5,19,0,33,美股又是大跌，疫情好转前美国恐怕很难避免。
2020-04-01 15:22:55,2,3,2,14,今天只有半导体等板块超跌反弹。大部分指数跌幅都在1%以下，跌幅最小的还是上证50，最近一个多月来一直是50比创业板稍强，不过也是五十步笑百步
2020-04-01 08:48:55,3,22,0,199,4月1日，不能光记得愚人节，也不能光怀念哥哥，更值得怀念的是英雄王伟。
2020-03-31 15:43:57,3,6,6,22,今天是本月也是一季度最后一个交易日。食品饮料指数880372大涨6.32%，不经意间创出了历史新高，该指数今年大涨了12.40%，今天多只和食品相关的股票也创出了历史新高：如双汇发展、涪陵榨菜、海天味业、安井食品、绝味食品等。疫情之下，两品消费：食品和药品是防御类最好的板块，今天创历史新高的还有和药品有关的股票，如普洛药业、益丰药房、大参林、天宇股份等，食品和药品创历史新高的占了一大半：
2020-03-31 11:26:02,1,2,0,14,我在参与华夏基金ETF组合挑战赛，王者pk，欢迎关注。立即报名参与： 网页链接
2020-03-31 06:04:01,7,66,1,32,美股又大幅度反弹了，我们大A股跟不跟？
2020-03-30 18:59:38,1,58,1,66,我在想，会不会过了半年多，中国因此而迎来一个生育高峰？
2020-03-30 15:36:46,4,9,2,20,板块中下跌多的一部分是受疫情影响大的旅游餐饮，一部分是前期涨幅过高的科技股，上涨的少量板块是农林牧渔、工程机械、食品饮料等。游资依然在炒作可转债，只不过学乖了，不去碰低价股而是集中资金优势恶炒高价品种，如正股下跌可转债依然大涨的泰晶转债等。最近的风格逆转，50的表现比创业板小票好很多，今天最惨的是科创板板块，跌幅中位数竟然高达4.28%，今天这样一跌，今年科创板的涨幅全部吞没，中位数下跌0.56%：
2020-03-30 10:41:52,8,45,1,39,这个月创业板科技股大跌，很多人听信专家说科技股好的又被套在高高的山岗上了
2020-03-29 10:24:44,1,25,2,46,这几天开始快递已经把货物送上门了，形势越来越好了。
2020-03-28 13:12:31,20,58,4,23,周五分级A成交额超过100万的只有11只了，没有一只超过1000万。想起2015年如火如荼的行情，想到今年年底分级基金关门，真是唏嘘不已：
2020-03-27 15:23:29,5,15,3,29,今天传统的白马在领涨，前期领涨的科技股在领跌，今天和本周，上证指数、上涨50、沪深300都是上涨的，而中证500、中证1000、创业板都是下跌的，正好和前两个月相反，真是花无百日红。
2020-03-27 12:14:51,7,34,10,74,今天涨幅排名前面的20多只可转债，没有一只是价格低于125元的，显然游资是吃一堑长一智，低价可转债里埋伏了太多伏兵，收割不成反被割。现在干脆拉高价可转债，想必你们也没这个胆量埋伏在高价可转债里面。所以你去研究游资的策略是毫无意义的，等你研究好了，人家也学乖了。还是你做你的，我做我的，正好撞到枪口上，那就是点心，投资还是要以正餐为主，守拙才能出奇：
2020-03-26 16:51:55,6,52,2,35,A50暴涨，是降息还是G20有什么利好？网页链接
2020-03-26 15:15:59,4,6,2,31,今天只有医药、食品、银行等少数几个白马板块是红的，通信、电气等板块领跌。最近几天白马开始走强，而前期强势的科技股和白马形成跷跷板效应：
2020-03-25 15:27:03,3,10,3,36,今天领涨板块又是汽车，这很难得。一般板块的延续性很差的，今天领涨明天不要领跌就算很好了。大概也是汽车板块前期被压抑太久了，给点阳光就灿烂：
2020-03-25 10:20:57,3,29,1,41,$转债试验(ZH1783962)$ @持有封基&nbsp; 新高了
2020-03-25 10:12:17,6,28,2,59,$今飞转债(SZ128056)$ 既然游资那么喜欢，我就全部清仓卖给你了，今飞转债这个月就44%的收益率，再涨也不眼红。
2020-03-24 17:23:18,3,14,5,29,今天反攻，领涨的是汽车、有色、保险、酿酒等传统行业，垫底的是半导体，两天下来跌幅最大的是中证1000，下跌2.75%，科创板下跌中位数4.99%，唯一上涨的是上证50，涨了0.43%，经历了2个月的相对弱势后，50开始走强：
2020-03-24 15:02:35,2,7,1,50,全部收复昨天失地还有余，真好！去医院开药、理发。
2020-03-24 06:38:36,8,25,1,40,美联储放大招无限宽松，美股依然不改颓势。
2020-03-23 15:23:00,8,27,9,47,所有板块均下跌，跌幅最大的半导体板块下跌8.58%，跌幅最小的电力板块下跌0.89%，今天这样一跌，跌幅最小的50下跌2.62%，今年下跌了16.44%，而跌幅最大的创业板指今天下跌了4.59%，今年也仅仅上涨了1.61%。而科创板跌幅中位数今天下跌7.14%，今年依然上涨2.04%，也就是说今年跌幅最大的50相对抗跌，而今年表现相对比较好的科创板、创业板等今年跌的最多。补跌现象很明显：
2020-03-23 11:22:34,4,25,1,37,$合兴转债(SZ128071)$ 正股在跌，游资还偏偏拉高，既然那么喜欢拉高，我就全部卖给你了。
2020-03-23 10:21:25,6,57,1,25,$创业板指(SZ399006)$ 今年唯一一个红的指数，也快跌没了。前期越是抗跌，现在下跌越快。
2020-03-23 09:34:44,1,5,1,24,可转债如期调整，但跌幅还是远远小于指数，调整后机会更多。
2020-03-23 06:55:45,3,5,2,25,今年创业板指连续6周大幅度跑赢上证50，但在最近4周中，这种优势不再维持，甚至有2周还大幅度跑输。证监会副主席说的A股估值在历史低位，是指50、300等大蓝筹，创业板的估值还在高位。
2020-03-23 05:05:43,1,39,1,48,外围市场不稳定，A50大跌，今天开盘免不了受影响。
2020-03-20 16:06:04,5,13,2,36,今天的行情和昨天恰恰相反，50远超创业板。就像中国不可能有独立牛市一样，创业板也不可能有什么独立行情，只不过有个时间差：
2020-03-20 10:05:43,1,6,1,31,$转债试验(ZH1783962)$ @持有封基&nbsp; 可转债又新高了
2020-03-20 07:23:08,10,43,10,51,今年已经有13只可转债被强赎，强赎前最后一天收盘价平均为158元，平均时间才1.21年：
2020-03-19 16:48:37,2,11,3,52,今天又是小票强于大票的一天。一方面外资要抽资去回援，另一方面我觉得也是因为中国疫情慢慢正常，很多人都上班了，玩这个游戏的人越来越少了，2月25日疫情最严重的时候，A股成交创了13529亿的天量，随着疫情好转，成交量一步步萎缩，直到今天只有7809亿了，差不多只有最高峰的58%了，随着成交量的下降，大盘也每况愈下，我个人觉得这个是一个很重要的原因。中短期的上涨都是由资金推动的。
2020-03-19 15:55:11,3,41,0,35,春节后第一次坐地铁，感觉人和平时相比至少少了一半，上去就有位子坐，而且很孔，这不是好事情。恢复正常的经济活动还要加快啊，否则影响太大了。
2020-03-19 14:33:59,1,13,0,43,好久没来外滩了，三件套还是三件套
2020-03-19 13:52:35,2,26,2,36,看盘无聊，春节后第一次坐地铁外出溜达，没想到就反弹了？
2020-03-19 13:33:11,5,36,1,121,我算是很幸运的，今年重仓了这个涨的最好而且风险最小的品种可转债，即使不是满仓，也多多少少对自己的账户有正贡献，感谢上苍，感谢命运。
2020-03-19 12:05:17,14,68,1,87,$上证指数(SH000001)$ 现在大概没人说A股会走出独立牛市行情了，总算太平了。
2020-03-19 11:55:48,12,82,6,95,$中国平安(SH601318)$ 中国平安从上市以来到2019年年底，最低的市盈率是8.73，今天市盈率又创了历史新低：8.2.
2020-03-19 10:41:40,3,18,2,36,儿子在墨尔本的一家金融公司做大数据挖掘，今天在微信上和我说也全天在家办公了，墨尔本路上的行人也少了很多，连奥元兑人民币也跌到1比4了。
2020-03-19 10:20:04,5,38,3,72,卖了点可转债，加了点格力和招行$招商银行(SH600036)$&nbsp;$格力电器(SZ000651)$&nbsp;
2020-03-19 07:21:25,11,50,9,101,现在可转债打新根本不用分析，无脑顶格打就可以了。200多只可转债现在只有亚药的价格在100元以下的，你说破发的概率有多少？退一万步说，万一破发的，真的是大好事，因为第一，破发将吓退一大批新人，会大大提高中签率。第二，破发的可转债肯定列入我们的买入榜单里，给我们多了一个机会，暂时的破发带来了长期的饭票，我真希望可转债破发早点来到。
2020-03-18 15:30:22,5,25,7,54,今天只有猪肉等少数板块上涨，房地产、酿酒、通信设备、证券等大幅度领跌。今天一跌，中证1000今年也变绿了，跌幅最大的上证50今年下跌了14.28%，A股全体中位数跌幅高达7.82%，67.77%也就是三分之二的股票下跌，唯一红的创业板指今年也只有涨了4.95%，从今年的最高点2月25日的2293.46开始算起，大跌了17.72%，另外还有一个板块是红的，就是科创板，今年的中位数涨幅是8.25%，不过从2月18日的高点开始算起也大跌了22.82%。我判断A股走出独立行情的可能性很小，而不是像很多人期盼的会走出独立的牛市。
2020-03-18 11:58:38,2,15,3,25,$转债试验(ZH1783962)$ @持有封基&nbsp; 可转债又创新高了，感觉这波行情被游资炒的太疯狂了。一个上午换手率超过500%的就有7只，最高的1100%多。
2020-03-18 09:52:20,1,4,0,50,春天来了，小区里的花也开了，坚信中国股市和实体经济一样会慢慢好起来。
2020-03-18 07:48:47,2,34,3,45,昨天美股大涨，盘后又是大跌。踩准节奏两面吃肉，踩不准的两面吃耳光。
2020-03-17 16:24:32,3,33,1,48,美股真的得了神经病了，盘前又是大涨了。
2020-03-17 15:26:04,3,3,1,32,今天还是只有日用化工等少数板块上涨，最近可转债估计有游资介入，利用可转债T+0，涨跌停大，吸引小散。其实只要坚守自己的策略，不追高，无脑轮动，还是非常不错的品种：
2020-03-17 11:45:10,1,15,3,44,$转债试验(ZH1783962)$ @持有封基&nbsp; 上午收盘再创历史新高。
2020-03-17 09:53:07,6,68,1,117,上周从家里的三阶错层一不小心跌了下来，一周没出门了，今天感觉好了一点，去了一次汇金超市和钱大妈买菜。一路上很多早餐店、饮食店都开了。小区里的绿化也是一片郁郁葱葱。春天来了。坚定看好中国经济。
2020-03-16 19:28:55,12,45,0,62,现在做美股股指期货，一天多头爆仓，一天空头爆仓。
2020-03-16 15:20:21,5,22,4,28,所有板块只有一个石油板块微涨了0.14%，前期强势的元器件、通信设备、半导体等板块跌幅都超过了7%。上周我说强势板块要不跌很多人还不信。全球都这样A股不可能独善其身。熊市中只有债券类的品种才会强势，2008年大熊市是权益类的大熊市，而对债券来说2008年是大牛市。今天我的可转债盘中还创了历史新高，只是到了后来也下跌了：网页链接
2020-03-16 13:27:03,14,79,8,171,熊市里的所有利好都被当作利空解读，2008年奥运第一次在中国举办，那么大的利好，当年专家们都一致预测奥运行情，结果呢？8月8日奥运开幕，指数都差点跌停。后来有人又解释说当天都去看奥运了，没人买股票。那我就不明白了，既然看奥运没人买，那么卖的人都是不看奥运的？
2020-03-16 10:28:57,2,9,1,51,$转债试验(ZH1783962)$ @持有封基&nbsp; 新高了
2020-03-16 08:04:44,16,113,14,182,很多人觉得外围市场大跌，我们A股因为疫情好转而会走出独立行情。我是觉得A股相对外围比较抗跌是可能的，但在今天很难独善其身。即使因为比价效应，最多外围跌的多，我们跌的少，反而想走出独立的牛市是痴人说梦。
2020-03-14 13:19:49,12,34,15,29,我把排名前20改成排名前5，结论一样，原始的双低策略还不如兴全可转债：
2020-03-14 11:00:05,19,62,29,47,我又回测了一次，经典的双低策略确实有超额收益，但优化后表现更加出色：
2020-03-14 07:51:08,3,89,0,200,我一个账户中了4个：
2020-03-13 15:38:05,6,38,15,45,今天只有旅游、半导体等极少数板块上涨。大跌之下，没有一个板块可以独善其身的。今年的可转债表现真的是很强，我做了一个无脑操作的可转债策略今年已经超过20%了，关键是回撤很小：网页链接
2020-03-13 09:30:55,12,90,1,41,现在创业板的风险要大于主板，因为很多人今年创业板还有盈利，第一反应就是止盈保住今年的盈利。
2020-03-12 17:23:27,2,6,3,33,今天植树节，大盘还蛮应景，只有半导体和通信设备两个板块是红的，其他54个板块全部是绿的，创业板已经连续2天跑输50了，而且还破了2月底的前低，今年连续走强了2个月后开始走弱。
2020-03-12 11:47:51,2,7,0,39,今天是植树节，挂不得全国山河一片绿。
2020-03-11 21:31:07,1,5,0,53,和浦银安盛的陈博对话直播结束，已经回到家了。谢谢球友的踊跃参与，《聪明的定投》一书手签本和定投公仔会由工作人员和中奖者联系后送出，再次谢谢大家的参与！预祝大家2020年获得投资丰收。
2020-03-11 15:13:07,3,9,2,19,今天只有运输等少数板块上涨，半导体、证券等领跌：
2020-03-10 15:22:17,5,18,3,32,今天两市成交量再次突破万亿，半导体以涨幅7.30%领涨市场，下跌的只有纺织服装、医疗保健、农林牧渔、石油、医疗等少数板块。盘中突破3000点收盘离开3000点只有一步之遥。不出意外，明天发起48次冲锋，攻击3000高地：
2020-03-10 11:49:22,6,42,10,116,$上证指数(SH000001)$ 今天上午的走势太有戏剧性了，高开后一路走低，然后又拉起半个小时后再一路下滑，眼看要破2900了，再一路拉起，看着盘面操作的投资者往往会做反。坚持长线策略，坚持资产配置才是正道。选择比努力更重要，守拙比取巧更重要。在正确的方向上努力守拙。
2020-03-10 07:44:36,4,46,2,94,美股大跌，但A股跌破3000后反弹的可能性很大，说不定就在今明两天。
2020-03-09 15:18:47,7,34,6,59,3个交易日前上证指数13年来第47次站上3000，今天第47次跌破3000，唯一红的板块反而是运输服务，石油板块竟然是跌幅最小的板块，而前期大热的半导体板块今天领跌。积蓄能力，准备向着3000高地发起第48次冲击：
2020-03-09 10:12:49,5,28,1,23,$牧原股份(SZ002714)$ 牧原牛逼，逆势上涨。
2020-03-09 04:55:30,2,28,0,53,大家早！又是新鲜的一天开始了。
2020-03-08 16:58:28,4,25,6,34,六六的作品非常现实主义，《安家》简直是一本中介教科书。
2020-03-08 14:45:52,8,31,0,19,隔开一米排队买口罩
2020-03-06 16:13:34,8,25,10,117,因为科创板至今还没有指数，我自己做了一个科创板等权指数，扣除每个科创板第一天涨幅不算，从第一天收盘开始算起，等权计算。以2019年7月22日为100点，到8月5日暴涨到142.42，上涨了42.42%，到2019年12月3日又暴跌到65.34，跌幅高达54.12%，到2020年3月6日收盘，科创板等权指数上涨到93.60，3个月又大涨了43.25%，体现了科创板大涨大跌的特点：
2020-03-06 16:06:17,5,15,10,44,又是口罩大涨，证券领跌。说说最近在做的套利。基建工程（165525）已经从高度溢价到了今天不足1%，连一次只能申购500元的新能源车（161028）溢价也只剩下1%了。这些品种会出现高度溢价的主要原因是新能源车、基建等板块受利好大涨，才会导致场内溢价，先知先觉的吃到“利”，后知后觉的吃到的“套”，加起来正好叫“套利”
2020-03-05 19:48:56,5,28,1,46,美股盘前又是大跌，好玩了，涨一天跌一天，好像有规律了。
2020-03-05 15:21:13,6,57,0,54,今天传统的农林牧渔、酿酒、家电等板块领涨，下跌的板块只有软件服务和建筑两个板块。今天白马的表现是今年最好的一天了，感觉牛市来了总会轮到的，除了个别天才可以抓住每个波段，我们普通人还不如守拙，否则刚刚从白马换到科技股，这次两面耳光吃的“萨萨伯伯”:
2020-03-05 11:37:02,7,18,0,35,$格力电器(SZ000651)$ 今天难得我们的白马起飞了
2020-03-05 10:33:54,3,16,0,39,双汇、牧原等猪肉股又创历史新高了，疫情再厉害都不改中国人吃猪的习惯！
2020-03-05 05:06:27,2,13,0,34,$道琼斯指数(.DJI)$ 一天大跌一天大涨，美股也和A股一样好玩了，难道今天晚上还要大跌吗？
2020-03-04 18:14:34,2,21,0,42,美股盘前大涨，弄的和我大A股一样了，一天暴跌一天暴涨，把你弄晕。
2020-03-04 15:19:29,10,39,2,24,今天地产等领涨，半导体等领跌，感觉热点在转移，收盘上证指数第47次站上3000点，不知道能站几天：
2020-03-04 14:57:50,7,38,0,71,$上证指数(SH000001)$ 不容易啊，提前宣布：上证指数在3000点下盘整了6个交易日，第47次站上了3000高地
2020-03-04 14:36:34,3,11,0,38,$双汇发展(SZ000895)$ 双汇又创历史新高了。
2020-03-04 07:02:54,3,36,9,56,可转债打新又来了，今天一只、明天两只、后天一只。全部顶格无脑打，如果真的破发了绝对是好事情，因为我们的可选榜单里有多了一只，今天又下降到33只了。
2020-03-04 06:10:54,4,23,1,21,美联储放水没用啊，美股再次暴跌。
2020-03-03 15:22:38,7,34,0,47,没想到开盘就站上3000点，也没想到最后还是掉下来了，明天继续47次发起3000高地冲击：
2020-03-03 08:09:13,12,39,3,45,$上证指数(SH000001)$ 今天将第47次向3000高地发起冲锋，冲啊！
2020-03-03 07:20:53,5,30,1,52,$上证指数(SH000001)$ 外围报复性大涨，我大A股今天很有可能第47次站上3000高地。
2020-03-03 06:04:36,4,13,0,33,$道琼斯指数(.DJI)$ 美股和A股一样了，不是大跌就是大涨。
2020-03-02 15:19:31,9,36,2,27,今天大基建领涨，旅游、银行、半导体殿后。比较有意思的是宽基指数里涨幅最小的上证50和创业板一样涨了3.08%，周五大跌的坑大部分都填满了，周五割肉今天追涨的心里一万匹草泥马在奔腾：
2020-03-02 14:33:37,3,31,2,38,$基建工程(SZ165525)$ 成分股大部分都没涨停，基金竟然涨停了。
2020-03-02 14:12:06,2,14,2,17,$11海航02(SH122071)$ 071今天成交量急剧放大，估计都是上周五康美债兑付出来的钱
2020-03-02 10:39:33,4,32,3,44,看今天的行情，感觉大科技的热点转移到大基建上去了。
2020-03-02 09:46:17,2,12,1,67,$海螺水泥(SH600585)$ 恭喜海螺水泥创了11年新高！
